City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
260,Cabo San Lucas,90.61,62,8,4.0,MX,22.8909,-109.9124,2022-10-29 20:02:03
261,Mahon,66.76,88,20,5.75,ES,39.8885,4.2658,2022-10-29 20:06:00
262,Saint-Georges,85.68,74,40,12.66,GD,12.0564,-61.7485,2022-10-29 20:04:48
263,Gurupa,95.58,34,100,2.75,BR,-1.405,-51.64,2022-10-29 20:06:01
264,Linxia,40.14,81,0,3.0,CN,35.6003,103.2064,2022-10-29 20:06:01
265,Tulun,27.3,75,90,3.02,RU,54.5611,100.5792,2022-10-29 20:06:02
266,Mbaiki,72.1,96,100,1.25,CF,3.8678,17.9892,2022-10-29 20:06:02
267,Jinchang,45.45,46,5,3.67,CN,38.4953,102.1739,2022-10-29 20:06:03
268,Severo-Kurilsk,37.74,74,93,8.57,RU,50.6789,156.125,2022-10-29 20:06:03
269,Goundam,83.05,12,0,10.8,ML,16.4145,-3.6708,2022-10-29 20:06:04
270,Avera,63.91,68,100,10.18,US,33.194,-82.5271,2022-10-29 20:06:04
271,Katobu,74.79,93,100,1.57,ID,-4.9408,122.5276,2022-10-29 20:06:04
272,Masindi,63.28,97,99,3.29,UG,1.6744,31.715,2022-10-29 20:07:05
273,Ribera,65.64,87,0,2.06,IT,37.4984,13.2642,2022-10-29 20:07:05
274,Huangnihe,29.52,72,0,2.15,CN,43.5583,128.0239,2022-10-29 20:07:06
275,Poitiers,61.25,59,0,3.44,FR,46.5833,0.3333,2022-10-29 20:07:06
276,Kembe,69.31,95,97,2.04,CF,4.6228,21.8865,2022-10-29 20:07:07
277,Verkhoyansk,-10.73,98,69,2.37,RU,67.5447,133.385,2022-10-29 20:07:07
278,Saveh,61.5,47,100,3.22,IR,35.0213,50.3566,2022-10-29 20:07:09
279,Praia Da Vitoria,62.4,71,100,12.8,PT,38.7333,-27.0667,2022-10-29 20:07:09
280,Xinzhi,55.0,81,98,3.42,CN,36.4989,111.7047,2022-10-29 20:07:10
281,Aosta,51.35,61,100,1.61,IT,45.7667,7.4167,2022-10-29 20:07:10
282,Brattvag,47.84,93,75,8.05,NO,62.6002,6.4434,2022-10-29 20:07:11
283,Jambi,73.8,99,100,2.8,ID,-1.6,103.6167,2022-10-29 20:07:11
284,Ampanihy,69.58,75,93,17.69,MG,-24.7,44.75,2022-10-29 20:07:12
285,Pemberton,47.66,99,100,6.53,CA,50.3164,-122.8027,2022-10-29 20:07:12
286,Puerto Leguizamo,84.9,64,99,3.22,CO,-0.1934,-74.7819,2022-10-29 20:07:13
287,Hobyo,80.13,76,5,11.7,SO,5.3505,48.5268,2022-10-29 20:07:13
288,Barreirinhas,84.18,64,100,12.55,BR,-2.7469,-42.8264,2022-10-29 20:07:14
289,Lompoc,81.84,48,0,18.41,US,34.6391,-120.4579,2022-10-29 20:07:14
290,Kidal,77.34,17,0,9.93,ML,18.4411,1.4078,2022-10-29 20:07:15
291,Abadan,83.39,25,88,4.21,IR,30.3392,48.3043,2022-10-29 20:07:15
292,Norman Wells,16.52,87,100,1.79,CA,65.282,-126.8329,2022-10-29 20:07:16
293,Mantua,61.41,84,7,4.36,IT,45.1667,10.7833,2022-10-29 20:05:04
294,Ongandjera,80.31,30,100,9.69,NA,-17.8833,15.0667,2022-10-29 20:07:16
295,Buala,80.24,82,72,3.74,SB,-8.145,159.5921,2022-10-29 20:07:17
